address,date,district,price,project,server,source,spider,subdistrict,title,url
 莘松三村 - 莘庄二手房出售 -莘沥路363弄,20180203120203,闵行,340 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,简单一房，厨卫全明，楼层位置好，学籍名额未用,http://sh.ganji.com/fang5/2901787821x.htm
 莘映象林水美... - 莘庄二手房出售 -疏影路1188弄,20180203120203,闵行,365 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,刚新上架、正气小户型、业主诚售、来电及可看房、并且满五唯一,http://sh.ganji.com/fang5/2910874734x.htm
 莘松三村 - 莘庄二手房出售 -莘沥路363弄,20180203120203,闵行,395 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,售后公房无税对口闵行实验小学业主诚意出售价格可谈,http://sh.ganji.com/fang5/2909030172x.htm
 莘松三村 - 莘庄二手房出售 -莘沥路363弄,20180203120203,闵行,310 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,实小房、学籍闲置、带花园、精装修全送，看房随时！！,http://sh.ganji.com/fang5/2859714885x.htm
 绿梅一村 - 莘庄二手房出售 -莘北路255弄,20180203120203,闵行,228 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,精装两房，双南，一梯两户，总价超低，房东订好房子急售,http://sh.ganji.com/fang5/2860905441x.htm
 荣盛名邸(公... - 莘庄二手房出售 -莘松路1500弄,20180203120203,闵行,230 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,地铁12号线下靠近漕河泾开发区房型好装修好慢就么啦,http://sh.ganji.com/fang5/2951930381x.htm
 美丽家园 - 莘庄二手房出售 -莘西南路128弄,20180203120203,闵行,560 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,精装修三房朝南位置好楼层好房东诚心卖接受置换,http://sh.ganji.com/fang5/2851971426x.htm
 阳明国际花苑 - 莘庄二手房出售 -山花路65弄,20180203120203,闵行,610 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,已经降了两次价格照片实拍买好了新房诚心卖,http://sh.ganji.com/fang5/2852804220x.htm
 东苑新天地(... - 莘庄二手房出售 -疏影路758弄,20180203120203,闵行,410 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,南北2房、《特价房》、钥匙委托、户型正气、业主急售、价格可降,http://sh.ganji.com/fang5/2914145137x.htm
 绿梅二村 - 莘庄二手房出售 -莘凌路241弄,20180203120203,闵行,350 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,福利房免税一梯两户两房朝南一房朝北置换诚心卖,http://sh.ganji.com/fang5/2942964788x.htm
 名都新城 - 莘庄二手房出售 -宝城路155弄富都路5...,20180203120203,闵行,1400 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,​［］南广场大复式，送露台，景观好，位置佳。。,http://sh.ganji.com/fang5/2906782009x.htm
 莘怡公寓 - 莘庄二手房出售 -莘东路498弄,20180203120203,闵行,77 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/shenzhuang/o3/,ganji,莘庄,首付29万入住莘庄地铁旁+精装修挑高5.4米+配套成熟送车位,http://sh.ganji.com/fang5/2967863444x.htm
 三和花园 - 静安寺二手房出售 -延平路123弄,20180203120206,静安,880 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o3/,ganji,静安寺,稀有推出三和花园，南北通透，三年不出一套，小孩可挂户口,http://sh.ganji.com/fang5/2883582216x.htm
 三和花园 - 静安寺二手房出售 -延平路123弄,20180203120206,静安,880 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o3/,ganji,静安寺,静安寺板块口，一师附小，高品质小区高区精装修2房，近地铁,http://sh.ganji.com/fang5/3007236320x.htm
 文元坊 - 静安寺二手房出售 -愚园路608弄,20180203120206,静安,450 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o3/,ganji,静安寺,愚园路底楼朝南，送天井15平，独用卫生2平，对口愚一，可停车,http://sh.ganji.com/fang5/2881221130x.htm
 万航渡路39... - 静安寺二手房出售 -万航渡路393弄,20180203120206,静安,220 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o3/,ganji,静安寺,静安寺经典拆迁一村室朝东房东诚意出售看房方便,http://sh.ganji.com/fang5/2964165491x.htm
 陕西北路58... - 静安寺二手房出售 -陕西北路587弄,20180203120206,静安,320 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o3/,ganji,静安寺,花园洋房恒隆广场商圈二楼朝南，送阳台3平送厨房卫生4平环境好,http://sh.ganji.com/fang5/2883582246x.htm
 爱俪轩 - 静安寺二手房出售 -镇宁路98号,20180203120206,静安,72 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o3/,ganji,静安寺,杜绝虚假宣传，可以网签，因房东小孩新婚置换，送15万精装修,http://sh.ganji.com/fang5/2892489504x.htm
 嘉园 - 静安寺二手房出售 -万航渡路458弄,20180203120206,静安,885 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o3/,ganji,静安寺,嘉园三房+带小区+带会所+近地铁,http://sh.ganji.com/fang5/2924274673x.htm
 三和花园 - 静安寺二手房出售 -延平路123弄,20180203120206,静安,650 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o3/,ganji,静安寺,静安寺板块口，一师附小，高品质小区高区精装修2房，近地铁,http://sh.ganji.com/fang5/2916182541x.htm
康定东路25...- 静安寺二手房出售 -康定东路25弄,20180203120206,静安,125 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o3/,ganji,静安寺,康定东路25弄二层亭子间6.3平方成片旧里棚户区,http://sh.ganji.com/fang5/2585436103x.htm
 嘉园 - 静安寺二手房出售 -万航渡路458弄1-6...,20180203120206,静安,885 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o3/,ganji,静安寺,走过路过不要错过，周边配套齐全，交通便捷，热闹地段，精装修,http://sh.ganji.com/fang5/3007973672x.htm
 愚园路611... - 静安寺二手房出售 -愚园路611弄,20180203120206,静安,350 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o3/,ganji,静安寺,愚园路精装使用权两房，投资+居住，房东诚意售,http://sh.ganji.com/fang5/2857723084x.htm
