address,date,district,price,project,server,source,spider,subdistrict,title,url
 双辽新村 - 周家嘴路二手房出售 -双辽支路70弄,20180202015417,杨浦,230 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,好地段，税费各付，送露台，业主置换，采光好，欲购从速,http://sh.ganji.com/fang5/2916886918x.htm
 上海大花园 - 周家嘴路二手房出售 -周家嘴路1299弄,20180202015417,杨浦,1250 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,上海大花园大气3房+1200万可以签字+高区楼层+小区中心,http://sh.ganji.com/fang5/2888921529x.htm
 林厦小区 - 周家嘴路二手房出售 -周家嘴路3338弄,20180202015417,杨浦,330 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,"双南两房带阳台,无税费,拎包入住,房东房子已看好,诚售！！！",http://sh.ganji.com/fang5/3009845138x.htm
 上海大花园 - 周家嘴路二手房出售 -周家嘴路1299弄,20180202015417,杨浦,880 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,上海大花园，小区中心位置，采光好，房东出国折现，降价急售,http://sh.ganji.com/fang5/2926937953x.htm
 辽源一村 - 周家嘴路二手房出售 -辽源西路190弄,20180202015417,杨浦,490 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,房型正气，得房率高，两南一北，无税费，周边设备成熟，交通方便,http://sh.ganji.com/fang5/2916886915x.htm
 上海大花园 - 周家嘴路二手房出售 -周家嘴路1299弄,20180202015417,杨浦,840 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,次新小区+高档楼盘+南北户型+业主急售+价格有空间+可改三房,http://sh.ganji.com/fang5/2889047314x.htm
 现代星洲城二... - 周家嘴路二手房出售 -江浦路1199弄,20180202015417,杨浦,850 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,现代星洲城+高区2房+中心位置+820万到手价+满五年唯一,http://sh.ganji.com/fang5/2897053459x.htm
 上海大花园 - 周家嘴路二手房出售 -周家嘴路1299弄,20180202015417,杨浦,830 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,急降20万，近地铁8号线，12号线，楼层好，满五唯一无户口。,http://sh.ganji.com/fang5/2914043524x.htm
 控江路152... - 周家嘴路二手房出售 -控江路1525弄,20180202015417,杨浦,320 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,控江路1525弄近地铁+商圈腹地+户型好+315万可以成交,http://sh.ganji.com/fang5/2897053183x.htm
 乐活居 - 长寿路二手房出售 -澳门路508号,20180202015420,普陀,720 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,70年产权，刷卡入户，24h安保，自带会所，送车位，看房随时,http://sh.ganji.com/fang5/2907941232x.htm
